Instance,Streamliner,solverNodeDelta,solverTimeDelta
fe1b3ed3d1898abdcdec2ce00a54d286.param,Original,0.0,7.088999999999999
74c183867cfffc5ce13c31b6efad7510.param,1,0.0,0.020000000000000004
6a519f050633eadb7959d07d59137f3c.param,4,0.0,0.039000000000000035
c423cf3b1e4921b4da834afef92c4de4.param,4,0.0,1.338000000000001
80b01d9b15d6a135cd05b1f787ebcd19.param,1-12,0.0,0.0050000000000000044
cb6d5124e0f327b04fb2a9032c970025.param,1-12,0.0,0.0049999999999999975
9c3349f0edcebf63cd7a079a3507eca0.param,1-12,0.0,0.008
85e6662ca27a07daaf28694bab571b34.param,1-12,0.0,0.0049999999999999906
8a6d5723fe45da7aadd7cbd9e105fd9a.param,1-12,0.0,0.006000000000000005
495a1a9af94d15663a72ae1c53d4f33c.param,1-12,0.0,0.0030000000000000027
57b307c7ee7a2149041faf56a268c0f7.param,1-12,0.0,0.0050000000000000044
74c183867cfffc5ce13c31b6efad7510.param,1-12,0.0,0.010000000000000002
e5c50ff145176c8733d45dea45061dab.param,1-12,0.0,0.02099999999999999
cb6d5124e0f327b04fb2a9032c970025.param,1-10,0.0,0.0030000000000000027
0ddc726bf9b67381801bd37c3e61c121.param,1-10,0.0,0.0050000000000000044
9c693a641da19e5fdaee3914e8be222c.param,1-10,0.0,0.07100000000000001
d24f808264ee39c959ba47cc6afaf66c.param,1-10,0.0,0.013999999999999999
8a6d5723fe45da7aadd7cbd9e105fd9a.param,1-10,0.0,0.011999999999999997
495a1a9af94d15663a72ae1c53d4f33c.param,1-10,0.0,0.013999999999999999
a310954ad65aae114b261ca5f96f1a0f.param,1-10,0.0,0.006999999999999999
7693d0621897a08695cc01e256c109aa.param,4-12,0.0,0.029000000000000026
74c183867cfffc5ce13c31b6efad7510.param,4-12,0.0,0.006000000000000005
0da117899f6c80cf9d387a166dfbbd41.param,4-12,0.0,7.096000000000004
491b0a54b1672a02731f2b58c58c7280.param,4-17,0.0,3.044000000000004
b3adec954404eafdc8ff425bd6011553.param,12-18-4,0.0,0.6669999999999998
0b7c1fb03413e9c61d94a04b82c9c6bf.param,3,0.0,0.043999999999999984
6002d8d3bf334b81633899a4a650b8d7.param,11-3,0.0,0.008
57b307c7ee7a2149041faf56a268c0f7.param,11-3,0.0,0.0050000000000000044
e5c50ff145176c8733d45dea45061dab.param,12-17-4,0.0,14.753000000000014
